"","date","yn","day","night","dd","rate","d_rate","n_rate","dd_rate","month","year"
"215",2016-03-13,1,1,0,0,13.9583333333333,28.5511363636364,0,0,3,2016
"216",2016-03-14,0,0,0,0,0,0,0,0,3,2016
"217",2016-03-15,0,0,0,0,0,0,0,0,3,2016
"218",2016-03-16,0,0,0,0,0,0,0,0,3,2016
"219",2016-03-17,1,1,0,0,0.31832249099981,0.708362614195362,0,0,3,2016
"220",2016-03-18,0,0,0,0,0,0,0,0,3,2016
"221",2016-03-19,1,1,0,1,12.3333333333333,20.4687862613135,0,25.4646324549237,3,2016
"222",2016-03-20,1,1,1,0,2.375,0.749479528105482,4.80600750938673,0,3,2016
"223",2016-03-21,0,0,0,0,0,0,0,0,3,2016
"224",2016-03-22,0,0,0,0,0,0,0,0,3,2016
"225",2016-03-23,1,1,0,1,206.958333333333,402.345664872294,0,43.7871458189357,3,2016
"226",2016-03-24,1,1,0,1,6.91666666666667,12.9877839936066,0,3.97790055248619,3,2016
"227",2016-03-25,0,0,0,0,0,0,0,0,3,2016
"228",2016-03-26,0,0,0,0,0,0,0,0,3,2016
"229",2016-03-27,0,0,0,0,0,0,0,0,3,2016
"230",2016-03-28,0,0,0,0,0,0,0,0,3,2016
"231",2016-03-29,1,1,0,0,58.4979137691238,113.573357335734,0,0,3,2016
"232",2016-03-30,1,1,1,1,102.583333333333,140.483870967742,56.405048600029,88.8279643591501,3,2016
"233",2016-03-31,1,1,1,1,23.3333333333333,18.3316582914573,23.3916083916084,53.7166324435318,3,2016
"234",2016-04-01,0,0,0,0,0,0,0,0,4,2016
"235",2016-04-02,1,1,0,0,0.25,0.479414049495062,0,0,4,2016
"236",2016-04-03,1,1,1,1,64.2916666666667,48.9080650514437,71.8618042226488,124.08719346049,4,2016
"237",2016-04-04,0,0,0,0,0,0,0,0,4,2016
"238",2016-04-05,1,1,1,1,134.416666666667,118.917967890917,132.030388797855,240.977596741344,4,2016
"239",2016-04-06,0,0,0,0,0,0,0,0,4,2016
"240",2016-04-07,1,1,0,0,15.3333333333333,28.9605421357525,0,0,4,2016
"241",2016-04-08,1,1,1,1,44.8333333333333,79.642545771578,5.98096964204803,2.9130141604855,4,2016
"242",2016-04-09,1,1,1,0,21.1666666666667,10.4823989569752,40.8557123350023,0,4,2016
"243",2016-04-10,1,1,1,1,20.5833333333333,29.2492687682808,8.78048780487805,18.8582941571525,4,2016
"244",2016-04-11,1,1,1,1,93.9166666666667,60.9009398293184,104.967840735069,250.288010716678,4,2016
"245",2016-04-12,1,1,1,1,10.5416666666667,13.1825525040388,6.53538461538462,11.5585284280936,4,2016
"246",2016-04-13,1,1,1,1,5.375,5.72226398883042,2.78250115937548,14.4,4,2016
"247",2016-04-14,0,0,0,0,0,0,0,0,4,2016
"248",2016-04-15,0,0,0,0,0,0,0,0,4,2016
"249",2016-04-16,1,1,0,0,261.083333333333,480.408902140347,0,0,4,2016
"250",2016-04-17,1,1,0,1,81.125,140.758203249442,0,50.3762376237624,4,2016
"251",2016-04-18,1,0,0,1,0.542294322132097,0,0,6.16600790513834,4,2016
"252",2016-04-19,1,1,1,0,1.98976891868054,3.21009134406264,0.687022900763359,0,4,2016
"253",2016-04-20,1,1,0,0,0.402543853518764,0.740836012861736,0,0,4,2016
"254",2016-04-21,1,1,1,0,2.46018416632884,1.66386554621849,4.28364688856729,0,4,2016
"255",2016-04-22,1,1,0,1,1.12532561505065,0.905470551247118,0,7.03125,4,2016
"256",2016-04-23,0,0,0,0,0,0,0,0,4,2016
"257",2016-04-24,0,0,0,0,0,0,0,0,4,2016
"258",2016-04-25,0,0,0,0,0,0,0,0,4,2016
"259",2016-04-26,0,0,0,0,0,0,0,0,4,2016
"260",2016-04-27,1,1,1,0,3.91666666666667,0.967842001861235,9.63807635101636,0,4,2016
"261",2016-04-28,0,0,0,0,0,0,0,0,4,2016
"262",2016-04-29,0,0,0,0,0,0,0,0,4,2016
"263",2016-04-30,1,1,0,0,2.66666666666667,4.72954942009648,0,0,4,2016
"264",2016-05-01,1,1,1,1,154.375,46.1519557648986,342.106149957877,118.100063331222,5,2016
"265",2016-05-02,1,1,1,0,0.541792081500347,0.441446965052115,0.853369454791737,0,5,2016
"266",2016-05-03,0,0,0,0,0,0,0,0,5,2016
"267",2016-05-04,1,1,0,0,1.5008685581934,2.63521756811712,0,0,5,2016
"268",2016-05-05,1,1,1,1,79.5831162063575,11.9147208121827,181.020092735703,127.058823529412,5,2016
"269",2016-05-06,0,0,0,0,0,0,0,0,5,2016
"270",2016-05-07,1,0,1,0,1.25,0,3.74479889042996,0,5,2016
"271",2016-05-08,1,1,0,0,1.625,2.82921914357683,0,0,5,2016
"272",2016-05-09,1,1,1,1,43.2750434279097,56.0144927536232,0.88204410220511,114.666666666667,5,2016
"273",2016-05-10,1,1,1,1,40.0046301655284,15.7511289513297,85.7112713205557,28.7822878228782,5,2016
"274",2016-05-11,1,1,0,0,0.833333333333333,1.44173007609131,0,0,5,2016
"275",2016-05-12,1,1,1,1,64.0416666666667,53.7410071942446,75.3726046841732,88.0195599022005,5,2016
"276",2016-05-13,1,1,1,0,22.9166666666667,38.9111576428358,1.02673796791444,0,5,2016
"277",2016-05-14,1,1,1,0,36.5833333333333,8.02547770700637,98.7325456498389,0,5,2016
"278",2016-05-15,1,1,0,0,0.25,0.429082240762813,0,0,5,2016
"279",2016-05-16,0,0,0,0,0,0,0,0,5,2016
"280",2016-05-17,1,1,0,0,2.19486457966936,3.78794010522056,0,0,5,2016
"281",2016-05-18,1,1,0,0,18.7992821165982,32.0932990709626,0,0,5,2016
"282",2016-05-19,0,0,0,0,0,0,0,0,5,2016
"283",2016-05-20,0,0,0,0,0,0,0,0,5,2016
"284",2016-05-21,1,1,1,1,3.54166666666667,4.03262258032819,1.32816823464305,7.705112960761,5,2016
"285",2016-05-22,1,1,1,1,7.25713954700805,5.29775336014912,10.8361204013378,7.67772511848341,5,2016
"286",2016-05-23,1,1,0,0,1.125,1.90420217455187,0,0,5,2016
"287",2016-05-24,1,1,1,1,7.70833333333333,10.4919315403423,4.03135498320269,2.54566882734237,5,2016
"288",2016-05-25,1,1,1,1,13.5416666666667,15.8203125,1.48370176095916,37.6498237367803,5,2016
"289",2016-05-26,1,0,0,1,0.33342981186686,0,0,3.37631887456038,5,2016
"290",2016-05-27,1,0,1,0,0.666666666666667,0,2.17358490566038,0,5,2016
"291",2016-05-28,1,1,0,0,4.5,7.56126021003501,0,0,5,2016
"292",2016-05-29,1,1,1,1,16.75,22.303359875704,8.89057750759878,7.54365541327125,5,2016
"293",2016-05-30,1,1,1,1,35.0833333333333,19.3443258971872,64.9056603773585,38.4445734184562,5,2016
"294",2016-05-31,1,1,1,1,13.3333333333333,16.8090671316478,10.0477920091761,2.50289687137891,5,2016
"295",2016-06-01,1,1,1,1,51.2618661727252,79.0396902226525,6.07478427612656,21.629116117851,6,2016
"296",2016-06-02,1,1,1,1,24.4583333333333,30.6234896085065,17.8581042107287,7.47404844290657,6,2016
"297",2016-06-03,1,1,0,0,2.78773496534066,4.91143140059413,0,0,6,2016
"298",2016-06-06,0,0,0,0,0,0,0,0,6,2016
"299",2016-06-08,1,1,0,0,9.56558414171236,9.56558414171236,0,0,6,2016
"300",2016-06-09,0,0,0,0,0,0,0,0,6,2016
"301",2016-06-10,0,0,0,0,0,0,0,0,6,2016
"302",2016-06-11,1,1,0,0,32.625,54.0932642487047,0,0,6,2016
"303",2016-06-12,1,1,1,1,16.9166666666667,5.93842907835427,44.407778432528,2.45175936435868,6,2016
"304",2016-06-13,1,0,1,0,0.298366090457021,0,0.991345397324941,0,6,2016
"305",2016-06-14,0,0,0,0,0,0,0,0,6,2016
"306",2016-06-15,1,1,0,0,1.08333333333333,1.79310344827586,0,0,6,2016
"307",2016-06-16,1,1,0,1,3.625,5.1704327843738,0,4.8868778280543,6,2016
"308",2016-06-17,1,1,1,0,5.08333333333333,2.48133256748995,12.2250740375123,0,6,2016
"309",2016-06-18,0,0,0,0,0,0,0,0,6,2016
"310",2016-06-19,0,0,0,0,0,0,0,0,6,2016
"311",2016-06-20,0,0,0,0,0,0,0,0,6,2016
"312",2016-06-21,0,0,0,0,0,0,0,0,6,2016
"313",2016-06-22,0,0,0,0,0,0,0,0,6,2016
"314",2016-06-23,0,0,0,0,0,0,0,0,6,2016
"315",2016-06-24,0,0,0,0,0,0,0,0,6,2016
"316",2016-06-25,0,0,0,0,0,0,0,0,6,2016
"317",2016-06-26,0,0,0,0,0,0,0,0,6,2016
"318",2016-06-27,0,0,0,0,0,0,0,0,6,2016
"319",2016-06-28,0,0,0,0,0,0,0,0,6,2016
"320",2016-06-29,0,0,0,0,0,0,0,0,6,2016
"321",2016-06-30,1,1,0,0,0.5,0.8289360069078,0,0,6,2016
"322",2016-07-01,1,1,0,0,0.708333333333333,1.1750023999232,0,0,7,2016
"323",2016-07-02,1,1,1,0,9.95833333333333,14.8703170028818,3.37895971842002,0,7,2016
"324",2016-07-03,1,1,1,0,19,13.426896087667,36.8221745071247,0,7,2016
"325",2016-07-04,1,0,1,1,0.5,0,0.841613091759205,2.46575342465753,7,2016
"326",2016-07-05,0,0,0,0,0,0,0,0,7,2016
"327",2016-07-06,0,0,0,0,0,0,0,0,7,2016
"328",2016-07-07,0,0,0,0,0,0,0,0,7,2016
"329",2016-07-08,1,1,0,0,0.333333333333333,0.55603822762815,0,0,7,2016
"330",2016-07-09,1,1,0,0,1.33333333333333,2.2267323861989,0,0,7,2016
"331",2016-07-10,1,1,0,0,0.833333333333333,1.39305407758537,0,0,7,2016
"332",2016-07-11,0,0,0,0,0,0,0,0,7,2016
"333",2016-07-12,0,0,0,0,0,0,0,0,7,2016
"334",2016-07-13,0,0,0,0,0,0,0,0,7,2016
"335",2016-07-14,0,0,0,0,0,0,0,0,7,2016
