V1,V2,V3
-123.993902439024,37.4661538461538,-3750.72607421875
-123.960365853659,37.4661538461538,-3726.2861328125
-123.926829268293,37.4661538461538,-3662.1259765625
-123.893292682927,37.4661538461538,-3592.51611328125
-123.859756097561,37.4661538461538,-3546.75610351562
-123.826219512195,37.4661538461538,-3519.64599609375
-123.792682926829,37.4661538461538,-3471.76611328125
-123.759146341463,37.4661538461538,-3432.29614257812
-123.725609756098,37.4661538461538,-3386.93408203125
-123.692073170732,37.4661538461538,-3328.08422851562
-123.658536585366,37.4661538461538,-3259.4140625
-123.625,37.4661538461538,-3158.63403320312
-123.591463414634,37.4661538461538,-2993.1142578125
-123.557926829268,37.4661538461538,-2664.9541015625
-123.524390243902,37.4661538461538,-2144.80419921875
-123.490853658537,37.4661538461538,-1733.38415527344
-123.457317073171,37.4661538461538,-1725.97912597656
-123.423780487805,37.4661538461538,-1995.869140625
-123.390243902439,37.4661538461538,-1978.25915527344
-123.356707317073,37.4661538461538,-1811.34912109375
-123.323170731707,37.4661538461538,-1659.25915527344
-123.289634146341,37.4661538461538,-1542.869140625
-123.256097560976,37.4661538461538,-1282.5390625
-123.22256097561,37.4661538461538,-1101.72912597656
-123.189024390244,37.4661538461538,-980.116088867188
-123.155487804878,37.4661538461538,-905.346069335938
-123.121951219512,37.4661538461538,-803.036071777344
-123.088414634146,37.4661538461538,-682.546081542969
-123.05487804878,37.4661538461538,-585.166076660156
-123.021341463415,37.4661538461538,-492.806060791016
-122.987804878049,37.4661538461538,-381.636077880859
-122.954268292683,37.4661538461538,-263.566070556641
-122.920731707317,37.4661538461538,-206.741973876953
-122.887195121951,37.4661538461538,-148.761978149414
-122.853658536585,37.4661538461538,-109.791976928711
-122.82012195122,37.4661538461538,-94.4519729614258
-122.786585365854,37.4661538461538,-88.2419738769531
-122.753048780488,37.4661538461538,-84.8619766235352
-122.719512195122,37.4661538461538,-80.7519760131836
-122.685975609756,37.4661538461538,-75.3519744873047
-122.65243902439,37.4661538461538,-70.3447113037109
-122.618902439024,37.4661538461538,-65.2647094726562
-122.585365853659,37.4661538461538,-59.6547088623047
-122.551829268293,37.4661538461538,-52.8547096252441
-122.518292682927,37.4661538461538,-41.2247085571289
-122.484756097561,37.4661538461538,-27.3547077178955
-122.451219512195,37.4661538461538,-1.29470825195312
-122.417682926829,37.4661538461538,79.5852890014648
-122.384146341463,37.4661538461538,200.959045410156
-122.350609756098,37.4661538461538,404.079040527344
-122.317073170732,37.4661538461538,389.889038085938
-122.283536585366,37.4661538461538,200.629058837891
-122.25,37.4661538461538,99.8790512084961
-122.216463414634,37.4661538461538,29.969051361084
-122.182926829268,37.4661538461538,21.8890514373779
-122.149390243902,37.4661538461538,10.9890518188477
-122.115853658537,37.4661538461538,2.64988255500793
-122.082317073171,37.4661538461538,0.809882521629333
-122.048780487805,37.4661538461538,0.369882494211197
-122.015243902439,37.4661538461538,1.09988248348236
-121.981707317073,37.4661538461538,0.939882516860962
-121.948170731707,37.4661538461538,4.8198823928833
-121.914634146341,37.4661538461538,7.47988271713257
-121.881097560976,37.4661538461538,81.3898849487305
-121.84756097561,37.4661538461538,281.505828857422
-121.814024390244,37.4661538461538,298.355834960938
-121.780487804878,37.4661538461538,443.475830078125
-121.746951219512,37.4661538461538,596.025817871094
-121.713414634146,37.4661538461538,750.575866699219
-121.67987804878,37.4661538461538,823.255859375
-121.646341463415,37.4661538461538,805.785827636719
-121.612804878049,37.4661538461538,755.535827636719
-121.579268292683,37.4661538461538,622.561096191406
-121.545731707317,37.4661538461538,842.151123046875
-121.512195121951,37.4661538461538,901.521118164062
-121.478658536585,37.4661538461538,954.181091308594
-121.44512195122,37.4661538461538,723.231079101562
-121.411585365854,37.4661538461538,743.591125488281
-121.378048780488,37.4661538461538,704.601135253906
-121.344512195122,37.4661538461538,589.511108398438
-121.310975609756,37.4661538461538,429.738922119141
-121.27743902439,37.4661538461538,312.078918457031
-121.243902439024,37.4661538461538,325.488922119141
-121.210365853659,37.4661538461538,303.548919677734
-121.176829268293,37.4661538461538,134.168914794922
-121.143292682927,37.4661538461538,52.3489189147949
-121.109756097561,37.4661538461538,36.3989219665527
-121.076219512195,37.4661538461538,23.2489204406738
-121.042682926829,37.4661538461538,16.6515235900879
-121.009146341463,37.4661538461538,17.0415229797363
-120.975609756098,37.4661538461538,18.3815231323242
-120.942073170732,37.4661538461538,20.2815227508545
-120.908536585366,37.4661538461538,22.6615238189697
-120.875,37.4661538461538,25.7515239715576
-120.841463414634,37.4661538461538,28.4415245056152
-120.807926829268,37.4661538461538,31.9515228271484
-120.774390243902,37.4661538461538,35.8002471923828
-120.740853658537,37.4661538461538,39.620246887207
-120.707317073171,37.4661538461538,44.9002456665039
-120.673780487805,37.4661538461538,49.7702484130859
-120.640243902439,37.4661538461538,49.2702484130859
-120.606707317073,37.4661538461538,45.6602478027344
-120.573170731707,37.4661538461538,54.6302490234375
-120.539634146341,37.4661538461538,66.2902450561523
-120.506097560976,37.4661538461538,73.3545303344727
-120.47256097561,37.4661538461538,88.7945251464844
-120.439024390244,37.4661538461538,112.664527893066
-120.405487804878,37.4661538461538,148.124526977539
