V1,V2,V3
-122.357740585774,37.5,236.270904541016
-122.3410041841,37.5,106.710906982422
-122.324267782427,37.5,106.150909423828
-122.307531380753,37.5,180.180908203125
-122.29079497908,37.5,200.920913696289
-122.274058577406,37.5,103.980911254883
-122.257322175732,37.5,23.7480754852295
-122.240585774059,37.5,7.00807571411133
-122.223849372385,37.5,2.86807584762573
-122.207112970711,37.5,2.3280758857727
-122.190376569038,37.5,2.0780758857727
-122.173640167364,37.5,4.36807584762573
-122.15690376569,37.5,1.46807587146759
-122.140167364017,37.5,1.70807588100433
-122.123430962343,37.5,0.808335959911346
-122.106694560669,37.5,-3.80166411399841
-122.089958158996,37.5,-2.39166402816772
-122.073221757322,37.5,0.168335929512978
-122.056485355649,37.5,1.45833587646484
-122.039748953975,37.5,2.27833604812622
-122.023012552301,37.5,2.23833584785461
-122.006276150628,37.5,1.84833598136902
-121.989539748954,37.5,7.35535287857056
-121.97280334728,37.5,4.00535297393799
-121.956066945607,37.5,3.63535308837891
-121.939330543933,37.5,8.57535266876221
-121.922594142259,37.5,32.045352935791
-121.905857740586,37.5,115.49535369873
-121.889121338912,37.5,346.475341796875
-121.872384937238,37.5,646.345336914062
-121.855648535565,37.5,666.380920410156
-121.838912133891,37.5,446.820892333984
-121.822175732218,37.5,253.380905151367
-121.805439330544,37.5,423.140899658203
-121.78870292887,37.5,513.280883789062
-121.771966527197,37.5,547.260925292969
-121.755230125523,37.5,499.100891113281
-121.738493723849,37.5,535.560913085938
-121.721757322176,37.5,764.321960449219
-121.705020920502,37.5,868.531982421875
-121.688284518828,37.5,1035.89196777344
-121.671548117155,37.5,1015.91198730469
-121.654811715481,37.5,925.641967773438
-121.638075313808,37.5,869.351989746094
-121.621338912134,37.5,647.841979980469
-121.60460251046,37.5,509.511962890625
-121.587866108787,37.5,725.592590332031
-121.571129707113,37.5,994.442626953125
-121.554393305439,37.5,1055.142578125
-121.537656903766,37.5,879.042602539062
-121.520920502092,37.5,810.41259765625
-121.504184100418,37.5,830.302612304688
-121.487447698745,37.5,827.1826171875
-121.470711297071,37.5,935.102600097656
-121.453974895397,37.5,827.604797363281
-121.437238493724,37.5,717.134826660156
-121.42050209205,37.5,770.484802246094
-121.403765690377,37.5,583.434814453125
-121.387029288703,37.5,577.134826660156
-121.370292887029,37.5,733.6748046875
-121.353556485356,37.5,724.15478515625
-121.336820083682,37.5,473.194793701172
-121.320083682008,37.5,344.223754882812
-121.303347280335,37.5,348.083740234375
-121.286610878661,37.5,405.873748779297
-121.269874476987,37.5,403.753753662109
-121.253138075314,37.5,373.423736572266
-121.23640167364,37.5,272.833740234375
-121.219665271967,37.5,197.763748168945
-121.202928870293,37.5,88.8637390136719
-121.186192468619,37.5,57.0370292663574
-121.169456066946,37.5,45.6870269775391
-121.152719665272,37.5,37.6570281982422
-121.135983263598,37.5,30.4570274353027
-121.119246861925,37.5,24.2170276641846
-121.102510460251,37.5,20.1570281982422
-121.085774058577,37.5,17.0470275878906
-121.069037656904,37.5,14.6370277404785
-121.05230125523,37.5,14.1029081344604
-121.035564853556,37.5,15.7429075241089
-121.018828451883,37.5,16.9529075622559
-121.002092050209,37.5,18.1529083251953
-120.985355648536,37.5,19.1429080963135
-120.968619246862,37.5,20.3129081726074
-120.951882845188,37.5,21.4729080200195
-120.935146443515,37.5,22.8229084014893
-120.918410041841,37.5,24.9127750396729
-120.901673640167,37.5,25.5827751159668
-120.884937238494,37.5,26.7527732849121
-120.86820083682,37.5,28.1827735900879
-120.851464435146,37.5,29.7227745056152
-120.834728033473,37.5,31.4827747344971
-120.817991631799,37.5,32.7627754211426
-120.801255230126,37.5,35.6627731323242
-120.784518828452,37.5,36.5271186828613
-120.767782426778,37.5,39.607120513916
-120.751046025105,37.5,46.8171195983887
-120.734309623431,37.5,52.8271179199219
-120.717573221757,37.5,49.3471183776855
-120.700836820084,37.5,50.1371192932129
-120.68410041841,37.5,51.1471176147461
-120.667364016736,37.5,53.3971176147461
-120.650627615063,37.5,57.310359954834
-120.633891213389,37.5,63.8003616333008
-120.617154811715,37.5,66.6403579711914
-120.600418410042,37.5,64.4103622436523
-120.583682008368,37.5,61.9803619384766
-120.566945606695,37.5,71.2203598022461
-120.550209205021,37.5,58.3903617858887
-120.533472803347,37.5,53.3803596496582
-120.516736401674,37.5,57.0538787841797
-120.5,37.5,60.6538772583008
-124.5,37.4832061068702,-4065.37670898438
-124.483263598326,37.4832061068702,-4058.28662109375
-124.466527196653,37.4832061068702,-4041.56665039062
-124.449790794979,37.4832061068702,-4023.65673828125
-124.433054393305,37.4832061068702,-4010.8466796875
-124.416317991632,37.4832061068702,-3990.90673828125
-124.399581589958,37.4832061068702,-3972.83862304688
-124.382845188285,37.4832061068702,-3961.62866210938
-124.366108786611,37.4832061068702,-3905.69873046875
